iter	Passed	Remaining
694	25610	11238
695	25634	11196
696	25665	11157
697	25692	11116
698	25724	11077
699	25762	11041
700	25800	11004
701	25833	10966
702	25869	10929
703	25900	10889
704	25933	10851
705	25959	10810
706	25988	10770
707	26016	10729
708	26047	10691
709	26079	10652
710	26106	10611
711	26135	10571
712	26168	10533
713	26199	10494
714	26226	10453
715	26253	10413
716	26280	10372
717	26307	10332
718	26336	10292
719	26363	10252
720	26391	10212
721	26420	10173
722	26450	10133
723	26487	10097
724	26521	10059
725	26553	10021
726	26581	9981
727	26612	9943
728	26639	9902
729	26668	9863
730	26697	9824
731	26736	9788
732	26781	9755
733	26812	9716
734	26847	9679
735	26885	9643
736	26920	9606
737	26963	9572
738	27001	9536
739	27034	9498
740	27065	9460
741	27097	9421
742	27125	9382
743	27153	9343
744	27183	9304
745	27211	9265
746	27237	9225
747	27264	9185
748	27291	9145
749	27322	9107
750	27357	9070
751	27388	9032
752	27416	8993
753	27445	8954
754	27478	8916
755	27507	8877
756	27532	8838
757	27561	8799
758	27588	8759
759	27614	8720
760	27643	8681
761	27678	8644
762	27708	8606
763	27746	8570
764	27787	8535
765	27821	8499
766	27858	8462
767	27897	8427
768	27933	8390
769	27963	8352
770	28004	8317
771	28038	8280
772	28074	8244
773	28150	8219
774	28199	8186
775	28238	8151
776	28277	8115
777	28313	8079
778	28348	8042
779	28376	8003
780	28408	7965
781	28439	7928
782	28477	7892
783	28505	7853
784	28536	7815
785	28564	7777
786	28595	7739
787	28623	7700
788	28650	7661
789	28678	7623
790	28717	7587
791	28751	7550
792	28784	7513
793	28816	7476
794	28847	7438
795	28878	7401
796	28913	7364
797	28941	7326
798	28976	7289
799	29012	7253
800	29046	7216
801	29074	7177
802	29100	7139
803	29134	7102
804	29161	7063
805	29189	7025
806	29214	6986
807	29243	6948
808	29272	6910
809	29302	6873
810	29328	6834
811	29357	6797
812	29386	6759
813	29415	6721
814	29451	6685
815	29483	6648
816	29510	6610
817	29541	6572
818	29569	6534
819	29595	6496
820	29624	6458
821	29654	6421
822	29687	6384
823	29723	6348
824	29760	6312
825	29793	6276
826	29826	6239
827	29861	6203
828	29894	6166
829	29925	6129
830	29964	6093
831	30000	6057
832	30032	6020
833	30065	5984
834	30098	5947
835	30134	5911
836	30167	5874
837	30199	5838
838	30232	5801
839	30269	5765
840	30303	5729
841	30338	5693
842	30368	5655
843	30397	5618
844	30426	5581
845	30457	5544
846	30487	5507
847	30516	5469
848	30546	5432
849	30583	5397
850	30613	5360
851	30644	5323
852	30679	5287
853	30722	5252
854	30757	5216
855	30791	5179
856	30825	5143
857	30861	5107
858	30898	5071
859	30933	5035
860	30962	4998
861	31000	4962
862	31032	4926
863	31066	4890
864	31095	4853
865	31124	4816
866	31155	4779
867	31182	4742
868	31208	4704
869	31241	4668
870	31274	4631
871	31308	4595
872	31342	4559
873	31376	4523
874	31405	4486
875	31438	4450
876	31479	4415
877	31530	4381
878	31563	4344
879	31596	4308
880	31636	4273
881	31678	4238
882	31715	4202
883	31751	4166
884	31781	4129
885	31810	4092
886	31845	4057
887	31882	4021
888	31911	3984
889	31942	3947
890	31982	3912
891	32034	3878
892	32080	3843
893	32138	3810
894	32179	3775
895	32310	3750
896	32388	3719
897	32445	3685
898	32491	3650
899	32544	3616
900	32589	3580
901	32625	3544
902	32675	3510
903	32736	3476
904	32775	3440
905	32814	3404
906	32858	3369
907	32903	3333
908	32941	3297
909	32982	3261
910	33021	3226
911	33057	3189
912	33086	3152
913	33117	3116
914	33149	3079
915	33177	3042
916	33210	3005
917	33239	2969
918	33272	2932
919	33299	2895
920	33329	2858
921	33355	2821
922	33385	2785
923	33412	2748
924	33439	2711
925	33473	2674
926	33506	2638
927	33550	2603
